tick	track_h	frames	fpm	close	close_ph	e54	e54_ph	realS	drops	upreg_spont	offline	ser_raw_B	ser_lines
08-16 16:04	4.85	13431	46.13	10	2.061	10	2.06	1	1	6	14	0	0
08-16 16:06	4.00	12660	52.75	2	0.5	2	0.5	0	0	0	6	0	0
